City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Khuzhir,RU,2022-02-01 23:03:33,53.1939,107.3397,-1.75,91,53,2.06
274,Caconda,AO,2022-02-01 23:03:33,-13.7333,15.0667,59.0,69,99,3.44
275,Yumen,CN,2022-02-01 23:03:33,40.2833,97.2,16.88,30,6,6.29
276,Shubarshi,KZ,2022-02-01 23:03:34,48.5872,57.1869,18.14,88,100,6.96
277,Esmeraldas,BR,2022-02-01 23:03:34,-19.7625,-44.3139,67.06,90,98,3.42
278,Neftcala,AZ,2022-02-01 23:03:35,39.3742,49.2472,45.07,82,1,8.99
279,Castel Volturno,IT,2022-02-01 23:03:35,41.0149,13.9462,51.96,61,5,6.93
280,Tomatlan,MX,2022-02-01 23:03:36,19.9333,-105.25,84.18,30,0,12.64
281,Eenhana,NA,2022-02-01 23:03:36,-17.4667,16.3333,68.95,41,99,4.72
282,Gat,IL,2022-02-01 23:03:37,31.61,34.7642,54.39,64,0,4.41
283,Trnava,SK,2022-02-01 23:03:04,48.3774,17.5872,34.5,96,87,14.16
284,Junnar,IN,2022-02-01 23:03:38,19.2,73.8833,63.68,35,1,2.51
285,Nouadhibou,MR,2022-02-01 23:03:38,20.931,-17.0347,67.64,72,94,11.72
286,Lensk,RU,2022-02-01 23:03:39,60.7253,114.9278,-6.47,97,100,5.03
287,Igarka,RU,2022-02-01 23:01:07,67.4667,86.5833,6.89,94,100,11.05
288,Semey,KZ,2022-02-01 23:03:39,50.4111,80.2275,-2.76,85,37,7.36
289,Makakilo City,US,2022-02-01 23:03:40,21.3469,-158.0858,79.29,54,20,10.36
290,Nilanga,IN,2022-02-01 23:02:03,18.1,76.7667,65.93,27,0,5.39
291,Kenai,US,2022-02-01 23:03:40,60.5544,-151.2583,21.09,93,100,26.46
292,Berlin,DE,2022-02-01 23:00:00,52.5244,13.4105,43.99,84,75,20.0
293,Statesboro,US,2022-02-01 22:59:45,32.4488,-81.7832,62.91,51,0,5.75
